交易 #,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累積損益 TWD,累積損益 %
5075,空頭出場,2025-03-19 18:50,Trend Rev,22083,1,1100300,-3890,-0.35,1780,0.16,-3970,-0.36,1955750,488.94
5075,空頭進場,2025-03-19 12:35,S_G_進,22006,1,1100300,-3890,-0.35,1780,0.16,-3970,-0.36,1955750,488.94
5076,多頭出場,2025-03-20 15:05,L_G_Cut,22365,1,1116400,1810,0.16,4480,0.40,-70,-0.01,1957500,489.38
5076,多頭進場,2025-03-20 11:10,L_Cmd,22328,1,1116400,1810,0.16,4480,0.40,-70,-0.01,1957500,489.38
5077,多頭出場,2025-03-20 17:15,Trend Rev,22289,1,1119250,-4840,-0.43,1630,0.15,-4820,-0.43,1952680,488.17
5077,多頭進場,2025-03-20 11:20,L_Add,22385,1,1119250,-4840,-0.43,1630,0.15,-4820,-0.43,1952680,488.17
5078,多頭出場,2025-03-20 17:15,Trend Rev,22289,1,1119650,-5240,-0.47,1230,0.11,-5220,-0.47,1947460,486.86
5078,多頭進場,2025-03-20 11:35,L_Add,22393,1,1119650,-5240,-0.47,1230,0.11,-5220,-0.47,1947460,486.86
5079,多頭出場,2025-03-20 17:15,Trend Rev,22289,1,1120650,-6240,-0.56,130,0.01,-6220,-0.56,1941240,485.31
5079,多頭進場,2025-03-20 13:10,L_G_進,22413,1,1120650,-6240,-0.56,130,0.01,-6220,-0.56,1941240,485.31
5080,多頭出場,2025-03-21 00:10,L_G_Cut,22304,1,1114200,960,0.09,3780,0.34,-270,-0.02,1942140,485.54
5080,多頭進場,2025-03-20 22:00,L_Cmd,22284,1,1114200,960,0.09,3780,0.34,-270,-0.02,1942140,485.54
5081,多頭出場,2025-03-21 00:30,Trend Rev,22257,1,1115700,-2890,-0.26,2280,0.20,-3170,-0.28,1939270,484.82
5081,多頭進場,2025-03-20 22:05,L_Add,22314,1,1115700,-2890,-0.26,2280,0.20,-3170,-0.28,1939270,484.82
5082,多頭出場,2025-03-21 00:30,Trend Rev,22257,1,1116700,-3890,-0.35,1280,0.11,-4170,-0.37,1935400,483.85
5082,多頭進場,2025-03-20 22:25,L_Add,22334,1,1116700,-3890,-0.35,1280,0.11,-4170,-0.37,1935400,483.85
5083,多頭出場,2025-03-21 00:30,Trend Rev,22257,1,1117250,-4440,-0.40,730,0.07,-4720,-0.42,1930980,482.75
5083,多頭進場,2025-03-20 23:10,L_G_進,22345,1,1117250,-4440,-0.40,730,0.07,-4720,-0.42,1930980,482.75
5084,多頭出場,2025-03-21 12:45,Trend Rev,22263,1,1114650,-1540,-0.14,30,0.00,-1620,-0.15,1929440,482.36
5084,多頭進場,2025-03-21 12:15,L_Cmd,22293,1,1114650,-1540,-0.14,30,0.00,-1620,-0.15,1929440,482.36
5085,空頭出場,2025-03-24 15:15,Trend Rev,22187,1,1107750,-1640,-0.15,1480,0.13,-2020,-0.18,1927800,481.95
5085,空頭進場,2025-03-24 11:30,S_Cmd,22155,1,1107750,-1640,-0.15,1480,0.13,-2020,-0.18,1927800,481.95
5086,多頭出場,2025-03-24 23:10,L_Exit,22356,1,1113250,4510,0.41,4580,0.41,-770,-0.07,1932250,483.06
